time,reanalysis,xgboost,cnn,naive,lstm
2018-01-09,361.94630220279987,335.5595703125,306.2156066894531,327.4670600357715,315.17645263671875
2018-01-10,321.48154987860636,305.5123596191406,303.5842590332031,320.37589988420973,308.4465026855469
2018-01-11,327.66217364247285,326.62109375,303.3619689941406,312.0308285907561,317.09759521484375
2018-01-12,306.60755350474506,296.61328125,293.5801696777344,274.1579013969679,296.30633544921875
2018-01-13,266.89841735060264,245.41502380371094,233.27279663085938,226.0062197224472,238.57508850097656
2018-01-14,120.2649147749222,197.88670349121094,166.89443969726562,225.2902758709954,180.45648193359375
2018-01-15,235.56502687153784,268.4373474121094,262.7588806152344,287.95411324477595,255.67913818359375
2018-01-16,272.12078122698716,311.8657531738281,277.636474609375,297.2596005597718,290.1875915527344
2018-01-17,258.9224536226468,279.8703308105469,254.87173461914062,280.46175692916245,255.30902099609375
2018-01-18,328.131453613265,253.42050170898438,265.54437255859375,286.7750251746004,259.1961364746094
2018-01-19,343.4150736633921,321.4621276855469,330.291748046875,352.86353227745917,339.0145263671875
2018-01-20,295.44222514345336,320.9032287597656,319.2258605957031,306.53728395388157,317.7053527832031
2018-01-21,246.87330693257903,210.16934204101562,219.4818572998047,262.64446488688395,218.97430419921875
2018-01-22,277.36917216956897,271.8218688964844,264.1199035644531,291.14209074352607,279.92901611328125
2018-01-23,305.93562019874963,285.7322082519531,274.5466613769531,299.4578245015857,294.1573486328125
2018-01-24,289.2821820386466,302.5443115234375,287.4127502441406,311.94494221514856,306.89599609375
2018-01-25,335.13565684916455,340.17645263671875,294.5345153808594,324.5460647469247,330.9420471191406
2018-01-26,337.2406808421009,324.8229064941406,278.9830627441406,300.516507683162,296.05438232421875
2018-01-27,213.38090240798758,221.37222290039062,195.48797607421875,252.98578275951718,216.79269409179688
2018-01-28,293.82952805201666,299.0810241699219,253.45440673828125,296.51151174993015,266.28643798828125
2018-01-29,361.94161147778294,341.5870666503906,321.0119323730469,347.9123647029994,336.7581787109375
2018-01-30,337.5933329563191,322.041748046875,314.6222229003906,311.80215953391985,307.6715087890625
2018-01-31,329.2031853539923,335.3785095214844,288.77593994140625,309.21800623194963,295.296142578125
2018-02-01,336.60566054674024,342.2472229003906,310.6741638183594,332.5370054537964,317.2522277832031
2018-02-02,334.8752103193537,332.810791015625,315.9296569824219,341.82456756260603,339.4312744140625
2018-02-03,323.6462974904764,343.01910400390625,292.7807922363281,335.3193484828555,336.2440185546875
2018-02-04,322.3573730905477,338.2442626953125,281.85430908203125,320.104766304363,314.642822265625
2018-02-05,314.06255684867205,323.8563537597656,282.7583312988281,303.0555321907834,298.76678466796875
2018-02-06,316.4226565324938,323.5997314453125,283.43609619140625,301.05288278479406,296.01947021484375
2018-02-07,323.2963287347697,326.7542724609375,300.2629089355469,297.54453479338576,304.2425231933594
2018-02-08,284.6138581876234,287.0753479003906,286.9416198730469,288.39088984480827,285.7207946777344
2018-02-09,223.631191777187,247.18601989746094,208.29542541503906,231.2191510899504,215.89126586914062
2018-02-10,246.4398614079405,260.1412048339844,216.7138671875,252.47388753907603,243.92303466796875
2018-02-11,170.8135236641308,232.08566284179688,205.07058715820312,261.91787281369784,219.1776123046875
2018-02-12,330.0532865205196,298.4316101074219,260.7547302246094,312.2601591100522,289.70050048828125
2018-02-13,345.2588830786897,324.01885986328125,283.8381652832031,313.5853505692578,318.4659118652344
2018-02-14,336.2137129622566,319.7781677246094,283.2494201660156,326.6679031285805,314.21783447265625
2018-02-15,324.88035249862,315.653076171875,285.1334533691406,321.70378423234274,306.8641357421875
2018-02-16,314.9927740596462,313.9748840332031,280.2112121582031,295.6128757676181,289.17327880859375
2018-02-17,314.42943777023527,312.2519836425781,288.1679382324219,291.30148215957547,286.5399169921875
2018-02-18,285.3448295027741,276.49053955078125,266.8085021972656,258.23033594883077,269.0064697265625
2018-02-19,216.43362597426383,227.02281188964844,183.2030029296875,190.1355477404834,187.90538024902344
2018-02-20,215.30660303373153,203.0170135498047,150.59298706054688,182.1590365278937,190.36561584472656
2018-02-21,242.63557899761642,202.98507690429688,187.00404357910156,237.89605073380176,205.02639770507812
2018-02-22,272.8605582997928,268.213623046875,253.22140502929688,284.8595487899986,262.47802734375
